acousticness,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist_name,popularity,speechiness,tempo,time_signature,title,uri,valence
0.0534,G-Eazy,0.589,268867,0.731,0.0,2,0.308,-6.343,1,Today's Top Hits,91,0.0868,87.908,4,Him & I (with Halsey),spotify:track:3YU6vJbjYUG0tiJyXf9x5V,0.191
0.145,Camila Cabello,0.643,227088,0.709,0.000449,0,0.115,-4.343,1,Today's Top Hits,87,0.0733,129.961,4,Never Be the Same,spotify:track:6VpQdig9pdpTSIFItgkJV5,0.264
0.000686,Cardi B,0.903,224613,0.541,0.00149,8,0.358,-7.524,1,Today's Top Hits,81,0.227,138.115,4,Bartier Cardi (feat. 21 Savage),spotify:track:75FDPwaULRdYDn4StFN2rT,0.105
0.17,Eminem,0.757,221013,0.748,0.0,8,0.0759,-5.794,0,Today's Top Hits,92,0.473,90.052,4,River (feat. Ed Sheeran),spotify:track:5UEnHoDYpsxlfzWLZIc7LD,0.693
0.0247,Demi Lovato,0.516,236987,0.592,0.0,3,0.181,-5.465,0,Today's Top Hits,79,0.0566,82.05,4,Tell Me You Love Me,spotify:track:5Htb1uFQ1KrkFXlefS8oGj,0.271
0.0782,Post Malone,0.565,223347,0.55,0.0,8,0.196,-5.357,0,Today's Top Hits,89,0.0397,143.927,4,I Fall Apart,spotify:track:2mdxJLJHzFmiiYdTZ8JcyH,0.302
0.33,NF,0.659,212120,0.716,0.0,5,0.173,-5.673,0,Today's Top Hits,94,0.111,148.015,4,Let You Down,spotify:track:6mrKP2jyIQmM0rw6fQryjr,0.437
0.0157,BTS,0.613,238726,0.842,0.0,10,0.23,-4.332,0,Today's Top Hits,89,0.219,169.917,4,MIC Drop (feat. Desiigner) [Steve Aoki Remix],spotify:track:7Ed6BkggCS2KaKY5YlINaF,0.645
0.835,Camila Cabello,0.74,213933,0.303,0.0,3,0.0782,-8.612,1,Today's Top Hits,84,0.117,91.958,4,Real Friends,spotify:track:4V6MRo0CEAC9MwAm7dkPuL,0.819
0.00413,Machine Gun Kelly,0.653,202805,0.718,0.0,3,0.0537,-5.232,0,Today's Top Hits,88,0.213,82.034,4,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",spotify:track:0OI7AFifLSoGzpb8bdBLLV,0.216
0.0652,Kodak Black,0.736,264532,0.604,6.43e-05,1,0.124,-7.357,0,Today's Top Hits,86,0.222,155.007,4,Codeine Dreaming (feat. Lil Wayne),spotify:track:4DTpngLjoHj5gFxEZFeD3J,0.574
