followers,playlist_name,uri_pl
18519599,Today's Top Hits,spotify:user:spotify:playlist:37i9dQZF1DXcBWIGoYBM5M
8546675,RapCaviar,spotify:user:spotify:playlist:37i9dQZF1DX0XUsuxWHRQd
4662221,mint,spotify:user:spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n
3854170,Are & Be,spotify:user:spotify:playlist:37i9dQZF1DX4SBhb3fqCJd
4034603,Rock This,spotify:user:spotify:playlist:37i9dQZF1DXcF6B6QPhFDv
4326717,Hot Country,spotify:user:spotify:playlist:37i9dQZF1DX1lVhptIYRda
6931652,¡Viva Latino!,spotify:user:spotify:playlist:37i9dQZF1DX10zKzsJ2jva
2423549,New Music Friday,spotify:user:spotify:playlist:37i9dQZF1DX4JAvHpjipBk
2465124,Afternoon Acoustic,spotify:user:spotify:playlist:37i9dQZF1DX4E3UdUs7fUx
3390430,Peaceful Piano,spotify:user:spotify:playlist:37i9dQZF1DX4sWSpwq3LiO
984661,Roots Rising,spotify:user:spotify:playlist:37i9dQZF1DWYV7OOaGhoH0
3923,Lost In Austin: Country Music from SXSW,spotify:user:spotify:playlist:5JdIoXkjfuyWmDdDnznmq1
14696,SXSW: HipHopUpNext,spotify:user:spotify:playlist:37i9dQZF1DX5PuwKY2VZBZ
3471,Women of SXSW,spotify:user:spotify:playlist:37i9dQZF1DXboGLA1CNczK
69791,New Music Friday,spotify:user:spotify:playlist:37i9dQZF1DWXJfnUiYjUKT
3734,Music Inspired By Mogul,spotify:user:spotify:playlist:4HghCZXykAY0kdRqJipQJd
7895,SXSW 2017: Daily Guide,spotify:user:spotify:playlist:1LYK2ahDnbLnS4fddCFY7z
1463302,TGIF,spotify:user:spotify:playlist:37i9dQZF1DXcRXFNfZr7Tp
8413,SXSW UK Rising,spotify:user:spotify:playlist:37i9dQZF1DXdIcOzOLoAn6
2068,ExperiWOMENtell,spotify:user:spotify:playlist:37i9dQZF1DWY7uXxMycXfq
16360,The Refugee Playlist,spotify:user:spotify:playlist:37i9dQZF1DX1328t2iygZy
12204,This Is: Jason Isbell,spotify:user:spotify:playlist:37i9dQZF1DX1wvY0jqbS55
294328,This Is: Disney,spotify:user:spotify:playlist:37i9dQZF1DWVs8I62NcHks
89925,This Is: The Doors,spotify:user:spotify:playlist:37i9dQZF1DX95gx8SY6DLX
540458,This Is: AC/DC,spotify:user:spotify:playlist:37i9dQZF1DXec50AjHrNTq
565397,This Is: Adele,spotify:user:spotify:playlist:37i9dQZF1DWZUozJiHy44Y
29251,This Is: Al Green,spotify:user:spotify:playlist:37i9dQZF1DWZMCPjHG57gq
65666,This Is: alt-J,spotify:user:spotify:playlist:37i9dQZF1DWXMmak2OV7PN
7773,This Is: Aqua,spotify:user:spotify:playlist:37i9dQZF1DX3reMgdkcDa4
29792,This Is: Aretha Franklin,spotify:user:spotify:playlist:37i9dQZF1DX6bJVMtDYJHx
130020,This Is: Bee Gees,spotify:user:spotify:playlist:37i9dQZF1DWZvGllBOMzci
134280,This Is: blink-182,spotify:user:spotify:playlist:37i9dQZF1DX4EKARgqYPFZ
5508,This is: Bronzeville,spotify:user:spotify:playlist:37i9dQZF1DWY5M5bfaAf3t
1312043,This Is: Bruno Mars,spotify:user:spotify:playlist:37i9dQZF1DX177vQ7mVRmP
13996,This is: Carole King,spotify:user:spotify:playlist:37i9dQZF1DX6GiJlVeD6Ou
48442,This is: Deep Purple,spotify:user:spotify:playlist:37i9dQZF1DX5WtNRbfbuUo
104881,This Is: Depeche Mode,spotify:user:spotify:playlist:37i9dQZF1DX3BSwupE5hR7
6964,This Is: Dispatch,spotify:user:spotify:playlist:37i9dQZF1DWVRrLXgTbWFy
2321064,This Is: Ed Sheeran,spotify:user:spotify:playlist:37i9dQZF1DWWxPM4nWdhyI
276349,This Is: Future,spotify:user:spotify:playlist:37i9dQZF1DWVstK6FYh8Nw
180467,This Is: George Michael,spotify:user:spotify:playlist:37i9dQZF1DXcIVSTUG9zAG
6391,This is: Gillian Welch,spotify:user:spotify:playlist:37i9dQZF1DWUifRttnt99X
127358,This Is: James Arthur,spotify:user:spotify:playlist:37i9dQZF1DX3Csy1LFxjkI
65517,This is: Jamiroquai,spotify:user:spotify:playlist:37i9dQZF1DX9OTdoPfdJpF
180995,This Is: John Mayer,spotify:user:spotify:playlist:37i9dQZF1DWYrlaUEYy4Vg
95205,This Is: John Legend,spotify:user:spotify:playlist:37i9dQZF1DX8DxW4iib3Eq
1059451,This Is: Justin Bieber,spotify:user:spotify:playlist:37i9dQZF1DXc2aPBXGmXrt
266581,This Is: Lady Gaga,spotify:user:spotify:playlist:37i9dQZF1DXc7FZ2VBjaeT
180740,This Is: LANY,spotify:user:spotify:playlist:37i9dQZF1DX1xlmTNXq2Qg
7899,This Is: Laura Marling,spotify:user:spotify:playlist:37i9dQZF1DX3Hdbt1R3mYP
49600,This Is:  Miranda Lambert,spotify:user:spotify:playlist:37i9dQZF1DWULYh276RumE
107263,This Is: Muse,spotify:user:spotify:playlist:37i9dQZF1DWTG97QsiXgEX
65246,This is: Neil Young,spotify:user:spotify:playlist:37i9dQZF1DWT6VDwxLyl0W
64128,This Is: Nina Simone,spotify:user:spotify:playlist:37i9dQZF1DX8OYzU0lx5hL
52481,This Is: New Edition,spotify:user:spotify:playlist:37i9dQZF1DWThFkopzOaNW
325223,This Is: One Direction,spotify:user:spotify:playlist:37i9dQZF1DX6p4TJxzMRDe
105040,This Is: OneRepublic,spotify:user:spotify:playlist:37i9dQZF1DXbZBKpgxsyXU
5134,This is: Raffi,spotify:user:spotify:playlist:37i9dQZF1DX4dWEvmDfGoP
380157,This Is: Prince,spotify:user:spotify:playlist:37i9dQZF1DX6JzJ8vAK836
76875,This Is: Rag'n'Bone Man,spotify:user:spotify:playlist:37i9dQZF1DWXqcBHh7a68E
43997,This Is: Soundgarden,spotify:user:spotify:playlist:37i9dQZF1DX024QaIPhrkq
10203,This Is: Status Quo,spotify:user:spotify:playlist:37i9dQZF1DX1zj9CzXszqD
67037,This Is: Stevie Wonder,spotify:user:spotify:playlist:37i9dQZF1DWWYIyS8LLUDj
37689,This Is: The Beach Boys,spotify:user:spotify:playlist:37i9dQZF1DXaZan2kzvaVc
239141,This Is: The Rolling Stones,spotify:user:spotify:playlist:37i9dQZF1DX5COO9vTaRpO
938443,This Is: The Weeknd,spotify:user:spotify:playlist:37i9dQZF1DX6bnzK9KPvrz
69179,This Is:  Thomas Rhett,spotify:user:spotify:playlist:37i9dQZF1DXctzlWgrxNLn
89705,This Is: Trey Songz,spotify:user:spotify:playlist:37i9dQZF1DX5xFQkXoZxdM
124058,This Is: Bob Dylan,spotify:user:spotify:playlist:37i9dQZF1DX8f6VxHEcGCN
50953,This Is: Bonobo,spotify:user:spotify:playlist:37i9dQZF1DWZais6SIaMts
166521,This Is: Britney Spears,spotify:user:spotify:playlist:37i9dQZF1DWXcA2XXbXQ3d
59378,This is: Bruce Springsteen,spotify:user:spotify:playlist:37i9dQZF1DX9qkL85stcHs
37231,This is: Cher,spotify:user:spotify:playlist:37i9dQZF1DX3w9f3pg1Dyc
32241,This is: Chuck Berry,spotify:user:spotify:playlist:37i9dQZF1DX0LonJ1uN97e
179017,This Is: Daft Punk,spotify:user:spotify:playlist:37i9dQZF1DWZAkrucRF6Gq
170504,This Is: Eagles,spotify:user:spotify:playlist:37i9dQZF1DX9AUVnnnNUND
86524,"This Is: Earth, Wind & Fire",spotify:user:spotify:playlist:37i9dQZF1DX3yvjXSVJwJV
144850,This Is: Elton John,spotify:user:spotify:playlist:37i9dQZF1DX7VulteLVOkq
14942,This is: Emeli Sandé,spotify:user:spotify:playlist:37i9dQZF1DXdRITMyVwc9y
260311,This Is: Gorillaz,spotify:user:spotify:playlist:37i9dQZF1DWSxQLa5KoDYW
1569274,This Is: Drake,spotify:user:spotify:playlist:37i9dQZF1DX7QOv5kjbU68
44762,This is: Jerry Garcia,spotify:user:spotify:playlist:37i9dQZF1DX8N0xov3IdrH
27458,This is: Joni Mitchell,spotify:user:spotify:playlist:37i9dQZF1DX94esvuBEVw6
351960,This Is: Little Mix,spotify:user:spotify:playlist:37i9dQZF1DWY24WaVcCqqH
62414,This Is: London Grammar,spotify:user:spotify:playlist:37i9dQZF1DX7FLzW9rNIxr
36614,This is: Lou Reed,spotify:user:spotify:playlist:37i9dQZF1DXdVelxaccCqL
17618,This Is: Max Martin,spotify:user:spotify:playlist:37i9dQZF1DWXDAhqlN7e6W
27520,This is: Maxwell,spotify:user:spotify:playlist:37i9dQZF1DWTqZKf590Jo5
595,This is: Margo Price,spotify:user:spotify:playlist:37i9dQZF1DX5P58TnuVGha
30939,This Is: Nick Cave,spotify:user:spotify:playlist:37i9dQZF1DWYEHBVWXZn8H
110979,This Is: Nickelback,spotify:user:spotify:playlist:37i9dQZF1DX6JuPU62sIoU
180817,This Is: Radiohead,spotify:user:spotify:playlist:37i9dQZF1DX1XDyq5cTk95
54528,This Is: R.E.M.,spotify:user:spotify:playlist:37i9dQZF1DWSNpCo0vJUOm
779574,This Is: Rihanna,spotify:user:spotify:playlist:37i9dQZF1DWWhBhYl3ZMvY
35704,This is: Roxette,spotify:user:spotify:playlist:37i9dQZF1DX8IAL5KfmFJA
33408,This Is: Sampha,spotify:user:spotify:playlist:37i9dQZF1DX86aPVQf2emM
37424,This Is: Skepta,spotify:user:spotify:playlist:37i9dQZF1DX5WbJFtYTzv7
53552,This is: Spice Girls,spotify:user:spotify:playlist:37i9dQZF1DWWUJdr9ahsbf
102119,This is: Sting,spotify:user:spotify:playlist:37i9dQZF1DX8yMCqd4JdaS
32812,This Is: Take That,spotify:user:spotify:playlist:37i9dQZF1DX5joH2aOAS4r
93790,This Is: Stormzy,spotify:user:spotify:playlist:37i9dQZF1DX9AFOBBZSMWw
35257,This is: Tina Turner,spotify:user:spotify:playlist:37i9dQZF1DX4UK2Qu9x6KC
40554,This is: Tony Bennett,spotify:user:spotify:playlist:37i9dQZF1DX4c84KflUhSt
14301,This Is: Trentemøller,spotify:user:spotify:playlist:37i9dQZF1DX4cEqBpR9k1C
248701,This Is: U2,spotify:user:spotify:playlist:37i9dQZF1DX8kI525v95Yu
56252,This Is: Van Morrison,spotify:user:spotify:playlist:37i9dQZF1DWUHyTgDVMaG1
76147,This Is: Volbeat,spotify:user:spotify:playlist:37i9dQZF1DWYrXu9rm1zUZ
10115,This is: Wiley,spotify:user:spotify:playlist:37i9dQZF1DXbW9wx2hgf03
7090,This Is: The Fall,spotify:user:spotify:playlist:37i9dQZF1DX7mMRxgkst0Y
18538,Best of John Peel Sessions,spotify:user:spotify:playlist:37i9dQZF1DWY3pbjsJ6MxA
117262,This Is: The xx,spotify:user:spotify:playlist:37i9dQZF1DWSp9aN7lDNHp
3665,This Is: David Axelrod,spotify:user:spotify:playlist:37i9dQZF1DX4n3DaGTtM0p
258845,New Noise,spotify:user:spotify:playlist:37i9dQZF1DWT2jS7NwYPVI
671113,Digging Now,spotify:user:spotify:playlist:37i9dQZF1DX82GYcclJ3Ug
951063,Rock Solid,spotify:user:spotify:playlist:37i9dQZF1DX49jUV2NfGku
60968,Rock This: Best of 2017,spotify:user:spotify:playlist:37i9dQZF1DX1Jg9KZ76Rr9
168588,Rock Party,spotify:user:spotify:playlist:37i9dQZF1DX8FwnYE6PRvL
3030894,Rock Classics,spotify:user:spotify:playlist:37i9dQZF1DWXRqgorJj26U
306284,You & Me,spotify:user:spotify:playlist:37i9dQZF1DX6mvEU1S6INL
46578,This Is: Beastie Boys,spotify:user:spotify:playlist:37i9dQZF1DX46YR1jKxz8o
191127,It's ALT Good!,spotify:user:spotify:playlist:37i9dQZF1DX2SK4ytI2KAZ
282133,The Scene,spotify:user:spotify:playlist:37i9dQZF1DWZkHEX2YHpDV
357034,Rock Hard,spotify:user:spotify:playlist:37i9dQZF1DWWJOmJ7nRx0C
21336,Big In Japan,spotify:user:spotify:playlist:37i9dQZF1DXbR32Ldau7WM
17418,This Is: Ryan Adams,spotify:user:spotify:playlist:37i9dQZF1DXdXKIWnpyigm
49138,This Is: The Black Keys,spotify:user:spotify:playlist:37i9dQZF1DX2rBR3X9E86S
134052,This Is: Tom Petty,spotify:user:spotify:playlist:37i9dQZF1DWUlZhYdX0uqM
227644,This Is: Nirvana,spotify:user:spotify:playlist:37i9dQZF1DX82CY3GzF2m6
39569,This Is: Ramones,spotify:user:spotify:playlist:37i9dQZF1DWWc7UGhP4Mpw
209482,This Is: Green Day,spotify:user:spotify:playlist:37i9dQZF1DWVPJN9etkrEa
394165,This Is: Metallica,spotify:user:spotify:playlist:37i9dQZF1DXbj9Ksq4BAdj
7293,This Is: Jane's Addiction,spotify:user:spotify:playlist:37i9dQZF1DXcGV9sg8bMdx
187452,This Is: Oasis,spotify:user:spotify:playlist:37i9dQZF1DWXupFIUw7TOC
40216,This Is: Kiss,spotify:user:spotify:playlist:37i9dQZF1DX5L9gRaHajqj
195858,Rock Save The Queen,spotify:user:spotify:playlist:37i9dQZF1DXcDnIr0iKAG8
170385,Dirty Rock,spotify:user:spotify:playlist:37i9dQZF1DWY6vTWIdZ54A
239488,One More Rep,spotify:user:spotify:playlist:37i9dQZF1DX5OUjSS1OMgV
825250,90s Rock Renaissance,spotify:user:spotify:playlist:37i9dQZF1DWZn9s1LNKPiM
607007,Soak Up The Sun,spotify:user:spotify:playlist:37i9dQZF1DX6ALfRKlHn1t
170201,License To Chill,spotify:user:spotify:playlist:37i9dQZF1DXa9xHlDa5fc6
236893,Rockin' Vibes,spotify:user:spotify:playlist:37i9dQZF1DX2aneNMeYHQ8
109468,Rock Ballads,spotify:user:spotify:playlist:37i9dQZF1DWXs1L3AC0Xio
290379,Totally Alternative,spotify:user:spotify:playlist:37i9dQZF1DXa6YOhGMjjgx
317053,Nu Metal,spotify:user:spotify:playlist:37i9dQZF1DXcfZ6moR6J0G
44084,Alternative Beats,spotify:user:spotify:playlist:37i9dQZF1DWXMg4uP5o3dm
27165,Take Note of These Covers,spotify:user:spotify:playlist:37i9dQZF1DX2S9rTKTX6JP
89874,Epic Wall of Sound,spotify:user:spotify:playlist:37i9dQZF1DX6ujZpAN0v9r
368194,Rock Me UP!,spotify:user:spotify:playlist:37i9dQZF1DX0wiundViT27
43390,All Things Post,spotify:user:spotify:playlist:37i9dQZF1DX9Mqxt6NLTDY
327352,Emo Forever,spotify:user:spotify:playlist:37i9dQZF1DX9wa6XirBPv8
35479,Classic Hardcore,spotify:user:spotify:playlist:37i9dQZF1DXaGNG7NmtmZv
178342,Rock Gaming,spotify:user:spotify:playlist:37i9dQZF1DWZjmJmeiazwd
461751,New Boots,spotify:user:spotify:playlist:37i9dQZF1DX8S0uQvJ4gaa
662593,Wild Country,spotify:user:spotify:playlist:37i9dQZF1DX5mB2C8gBeUM
974022,Country Gold,spotify:user:spotify:playlist:37i9dQZF1DWYnwbYQ5HnZU
224775,Texas Music Now,spotify:user:spotify:playlist:37i9dQZF1DX3Ee0ngF5ZVQ
292992,Country Coffeehouse,spotify:user:spotify:playlist:37i9dQZF1DWYiR2Uqcon0X
41362,Canadian Country,spotify:user:spotify:playlist:37i9dQZF1DWW7RgkOJG32Y
552660,Country Kind of Love,spotify:user:spotify:playlist:37i9dQZF1DX8WMG8VPSOJC
339983,Country Nights,spotify:user:spotify:playlist:37i9dQZF1DWXi7h4mmmkzD
1018367,Chillin' on a Dirt Road,spotify:user:spotify:playlist:37i9dQZF1DWTkxQvqMy4WW
123444,Country by the Grace of God,spotify:user:spotify:playlist:37i9dQZF1DWU2LcZVHsTdv
